has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_TH,number_of_TR,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,http://4bwd8g6fgxvf6846vds.is-a-doctor.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relais-reprogramme.info/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relais-reprogramme.info/captcha,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.elektronika76361.sbs,1
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,23,4,49,57,https://exodsxweb.gitbook.io,1
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,23,4,49,57,https://exodsxweb.gitbook.io/us/,1
1,1,1,0,0,1,0,0,0,0,0,2,5,0,0,1,0,0,21,13,61,104,https://exodsewebwllty.gitbook.io/us/,1
1,1,1,0,0,1,0,0,0,0,0,2,5,0,0,1,0,0,21,13,61,104,https://exodsewebwllty.gitbook.io,1
1,1,1,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,8,0,59,14,https://dougleahyy.wixstudio.com/my-site,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,4,1,13,4,https://sites.google.com/view/webkontoakualisiert/home,1
1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,3,3,10,17,https://citas-2025-formulario-dlkm.cr-web.workers.dev,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,3,2,10,39,https://citas-2025-formulario-dlkm.cr-web.workers.dev/servicios,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relayinformations.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relayinformations.com/captcha,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,http://g6dfg46fd86s8g46vfd8g.is-a-socialist.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,24,13,https://wordpress-1563761-6074903.cloudwaysapps.com/cc/auth/log.php,1
1,1,1,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,5,1,8,28,https://109334nhg6hlkk8980020200sl0l.blogspot.com/,1
1,1,1,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,5,1,8,28,https://109334nhg6hlkk8980020200sl0l.blogspot.com/?m=1,1
1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,14,14,https://jamhartaygsamleefh.github.io/12/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relaytrafic.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relaytrafic.com/captcha,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.84346.icu/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegro.83346.icu/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://allegrolokalnie.oferta-857891.icu,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://alivecrm.com/dashboard/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relayetapes.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,https://mondial-relayetapes.com/captcha,1
